group,advertiser,landing,date,spend,hvu,cphq
组9 金项圈,HNN,scene/578113,2026-04-13,7.96,1,7.96
组12 浴室,HNN,scene/888321,2026-04-13,11.18,1,11.18
组14 女性专栏,HNN,/multisensory/womens-sexual-health/3186-how-to-choose-right-sex-toy-for-women,2026-04-13,13.32,2,6.66
组15 Power Shift,HZM,scene/922306,2026-04-13,12.32,2,6.16
组16 敲门,HNN,scene/531778,2026-04-13,16.67,2,8.34
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-13,8.01,2,4.00
组1 Library,HZM,scene/031937,2026-04-14,8.68,2,4.34
组2 Tonight,HZM,scene/853762,2026-04-14,2.3,6,0.38
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-14,16.22,5,3.24
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-14,14.36,7,2.05
组6 冰块,HNN,scene/903553,2026-04-14,8.16,1,8.16
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-14,10.95,2,5.47
组8 山间,HNN,scene/680577,2026-04-14,4.56,1,4.56
组9 金项圈,HNN,scene/578113,2026-04-14,9.8,0,
组12 浴室,HNN,scene/888321,2026-04-14,8.48,2,4.24
组14 女性专栏,HNN,/multisensory/womens-sexual-health/3186-how-to-choose-right-sex-toy-for-women,2026-04-14,9.92,0,
组15 Power Shift,HZM,scene/922306,2026-04-14,6.97,0,
组16 敲门,HNN,scene/531778,2026-04-14,7.73,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-14,10.91,4,2.73
组18 红玫瑰,HNN,scene/613826,2026-04-14,9.79,4,2.45
组19 Top Predator's,HZM,scene/922306,2026-04-14,7.64,3,2.55
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-14,7.32,2,3.66
组1 Library,HZM,scene/031937,2026-04-15,18.79,2,9.39
组2 Tonight,HZM,scene/853762,2026-04-15,2.3,1,2.30
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-15,7.61,3,2.54
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-15,10.97,10,1.10
组6 冰块,HNN,scene/903553,2026-04-15,0.89,1,0.89
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-15,12.52,6,2.09
组8 山间,HNN,scene/680577,2026-04-15,7.07,1,7.07
组9 金项圈,HNN,scene/578113,2026-04-15,7.53,4,1.88
组12 浴室,HNN,scene/888321,2026-04-15,5.58,3,1.86
组15 Power Shift,HZM,scene/922306,2026-04-15,16.63,2,8.31
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-15,6.99,2,3.50
组18 红玫瑰,HNN,scene/613826,2026-04-15,9.01,4,2.25
组19 Top Predator's,HZM,scene/922306,2026-04-15,15.59,1,15.59
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-15,7.31,9,0.81
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-15,9.62,1,9.62
组22 Voyeurism,CHJ,/multisensory/voyeurism/735-seen-body-why-is-voyeurism,2026-04-15,0.0,1,0.00
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-15,0.0,1,0.00
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-15,5.4,2,2.70
组1 Library,HZM,scene/031937,2026-04-16,0.18,3,0.06
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-16,1.95,3,0.65
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-16,3.35,3,1.12
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-16,0.15,0,
组8 山间,HNN,scene/680577,2026-04-16,7.94,0,
组9 金项圈,HNN,scene/578113,2026-04-16,6.15,0,
组15 Power Shift,HZM,scene/922306,2026-04-16,7.24,0,
组16 敲门,HNN,scene/531778,2026-04-16,9.96,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-16,3.23,12,0.27
组18 红玫瑰,HNN,scene/613826,2026-04-16,10.25,2,5.12
组19 Top Predator's,HZM,scene/922306,2026-04-16,7.53,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-16,13.06,8,1.63
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-16,9.06,0,
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-16,11.58,2,5.79
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-16,2.77,0,
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-16,6.63,2,3.31
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-16,2.75,2,1.38
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-16,0.35,0,
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-17,28.88,5,5.78
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-17,24.12,5,4.82
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-17,28.28,6,4.71
组8 山间,HNN,scene/680577,2026-04-17,8.35,0,
组9 金项圈,HNN,scene/578113,2026-04-17,7.77,0,
组16 敲门,HNN,scene/531778,2026-04-17,7.25,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-17,30.1,18,1.67
组18 红玫瑰,HNN,scene/613826,2026-04-17,8.49,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-17,30.76,13,2.37
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-17,10.03,8,1.25
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-17,10.57,4,2.64
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-17,29.18,0,
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-17,10.98,0,
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-17,28.38,0,
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-17,10.32,0,
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-17,7.93,0,
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-17,24.86,0,
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-18,18.24,10,1.82
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-18,14.0,0,
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-18,10.98,0,
组8 山间,HNN,scene/680577,2026-04-18,5.53,0,
组9 金项圈,HNN,scene/578113,2026-04-18,5.19,0,
组15 Power Shift,HZM,scene/922306,2026-04-18,6.24,0,
组16 敲门,HNN,scene/531778,2026-04-18,4.6,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-18,16.78,26,0.65
组18 红玫瑰,HNN,scene/613826,2026-04-18,6.82,0,
组19 Top Predator's,HZM,scene/922306,2026-04-18,8.3,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-18,35.35,10,3.54
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-18,8.98,1,8.98
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-18,6.41,2,3.21
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-18,20.84,0,
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-18,13.47,0,
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-18,10.88,0,
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-18,20.36,0,
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-18,9.68,0,
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-18,16.17,2,8.09
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-18,13.09,0,
组31 天使,HZM,/exp-app/scene/1968879137365995521,2026-04-18,10.39,0,
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-18,12.28,5,2.46
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-19,10.08,9,1.12
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-19,9.38,5,1.88
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-19,10.76,0,
组8 山间,HNN,scene/680577,2026-04-19,6.16,0,
组9 金项圈,HNN,scene/578113,2026-04-19,6.12,0,
组15 Power Shift,HZM,scene/922306,2026-04-19,9.8,0,
组16 敲门,HNN,scene/531778,2026-04-19,4.83,0,
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-19,9.84,12,0.82
组18 红玫瑰,HNN,scene/613826,2026-04-19,8.75,0,
组19 Top Predator's,HZM,scene/922306,2026-04-19,9.08,0,
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-19,18.84,7,2.69
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-19,6.29,2,3.15
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-19,6.54,2,3.27
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-19,7.64,0,
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-19,7.65,0,
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-19,10.64,0,
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-19,11.0,0,
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-19,8.81,4,2.20
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-19,12.87,2,6.43
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-19,8.6,0,
组31 天使,HZM,/exp-app/scene/1968879137365995521,2026-04-19,13.49,2,6.75
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-19,13.66,8,1.71
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-20,15.29,7,2.18
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-20,17.69,8,2.21
